"specimen"	"reagent_tissue"	"litter"	"vendor"	"mouse"	"tissue_type"	"log_IL1a"	"VEGF"	"FGF"	"IL17"	"IL2"	"MIG"	"IL4"	"cage"	"IL1a"
"1"	"Control_01_AE"	"Control"	"None"	"None"	"1"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Control_02_AE"	"Control"	"None"	"None"	"2"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"Control_03_AE"	"Control"	"None"	"None"	"3"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"Control_04_AE"	"Control"	"None"	"None"	"4"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"Control_05_AE"	"Control"	"None"	"None"	"5"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"Control_06_AE"	"Control"	"None"	"None"	"6"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"Control_07_AE"	"Control"	"None"	"None"	"7"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Control_08_AE"	"Control"	"None"	"None"	"8"	"AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"Control_01_Blank"	"Control"	"None"	"None"	"1"	"Blank"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	"Control_02_Blank"	"Control"	"None"	"None"	"2"	"Blank"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"Control_03_Blank"	"Control"	"None"	"None"	"3"	"Blank"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"Control_04_Blank"	"Control"	"None"	"None"	"4"	"Blank"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"Tissue_CharRiv1_10_Cecum"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_10"	"Cecum"	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	"CR_1_2"	6.049629503
"14"	"Tissue_CharRiv1_10_Lung"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_10"	"Lung"	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	"CR_1_2"	6.049629503
"15"	"Tissue_CharRiv1_10_Nasal"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_10"	"Nasal"	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	"CR_1_2"	6.049629503
"16"	"Tissue_CharRiv1_10_Tongue"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_10"	"Tongue"	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	"CR_1_2"	6.049629503
"17"	"Tissue_CharRiv1_01_Cecum"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_1"	"Cecum"	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	"CR_1_1"	12.96614318
"18"	"Tissue_CharRiv1_01_Lung"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_1"	"Lung"	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	"CR_1_1"	12.96614318
"19"	"Tissue_CharRiv1_01_Nasal"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_1"	"Nasal"	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	"CR_1_1"	12.96614318
"20"	"Tissue_CharRiv1_01_Tongue"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_1"	"Tongue"	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	"CR_1_1"	12.96614318
"21"	"Tissue_CharRiv1_02_Cecum"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_2"	"Cecum"	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	"CR_1_1"	6.314052534
"22"	"Tissue_CharRiv1_02_Lung"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_2"	"Lung"	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	"CR_1_1"	6.314052534
"23"	"Tissue_CharRiv1_02_Nasal"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_2"	"Nasal"	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	"CR_1_1"	6.314052534
"24"	"Tissue_CharRiv1_02_Tongue"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_2"	"Tongue"	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	"CR_1_1"	6.314052534
"25"	"Tissue_CharRiv1_03_Cecum"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_3"	"Cecum"	0.911314594	57.86690659	613.7807063	0.733979444	13.99783035	25.04194319	9.534461692	"CR_1_1"	8.152946529
"26"	"Tissue_CharRiv1_03_Lung"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_3"	"Lung"	0.911314594	57.86690659	613.7807063	0.733979444	13.99783035	25.04194319	9.534461692	"CR_1_1"	8.152946529
"27"	"Tissue_CharRiv1_03_Nasal"	"Tissue"	"CharRiv1"	"Charles_River"	"CR1_3"	"Nasal"	0.911314594	57.86690659	613.7807063	0.733979444	13.99783035	25.04194319	9.534461692	"CR_1_1"	8.152946529
